Product,Width,Height,H,S,V,Recyclable Flag
Sprite,135,408,82.5,252,132,Recyclable
Sprite,133,413,82.5,252,140,Recyclable
Sprite,132,410,82.5,252,140,Recyclable
Sprite,132,407,82.5,252,132,Recyclable
Sprite,131,411,82.5,252,132,Recyclable
Sprite,132,407,82.5,252,124,Recyclable
Sprite,132,401,82.5,252,124,Recyclable
Sprite,133,403,82.5,252,124,Recyclable
Sprite,134,403,82.5,252,124,Recyclable
Sprite,134,400,82.5,252,124,Recyclable
Sprite,134,404,82.5,252,124,Recyclable
Sprite,134,400,82.5,252,124,Recyclable
Sprite,134,400,82.5,252,124,Recyclable
Sprite,134,398,82.5,252,124,Recyclable
Sprite,134,401,82.5,252,124,Recyclable
Sprite,133,396,82.5,252,124,Recyclable
Sprite,132,400,82.5,252,124,Recyclable
Sprite,133,403,82.5,252,124,Recyclable
Sprite,132,401,82.5,252,124,Recyclable
Sprite,134,401,82.5,252,124,Recyclable
Sprite,133,403,82.5,252,124,Recyclable
Sprite,134,404,82.5,252,124,Recyclable
Sprite,133,405,82.5,252,124,Recyclable
Sprite,132,406,82.5,252,124,Recyclable
Sprite,133,404,82.5,252,124,Recyclable
Sprite,132,406,82.5,252,116,Recyclable
Sprite,134,409,82.5,252,116,Recyclable
Sprite,132,384,97.5,252,252,Recyclable
Sprite,133,311,97.5,252,196,Recyclable
Sprite,133,325,97.5,244,188,Recyclable
Sprite,133,325,7.5,44,68,Recyclable
Sprite,133,376,77.5,252,84,Recyclable
Sprite,134,418,77.5,252,84,Recyclable
Sprite,133,413,77.5,252,84,Recyclable
Sprite,134,415,77.5,252,100,Recyclable
Sprite,134,416,82.5,252,116,Recyclable
Sprite,133,404,82.5,252,116,Recyclable
Sprite,134,415,82.5,252,116,Recyclable
Sprite,132,406,82.5,252,124,Recyclable
Sprite,132,406,82.5,252,124,Recyclable
Sprite,133,407,82.5,252,124,Recyclable
Sprite,133,405,82.5,252,124,Recyclable
Sprite,134,405,82.5,252,124,Recyclable
Sprite,133,406,82.5,252,132,Recyclable
Sprite,133,404,82.5,252,132,Recyclable
Sprite,134,406,82.5,252,132,Recyclable
Sprite,134,407,82.5,252,132,Recyclable
Sprite,133,407,82.5,252,132,Recyclable
Sprite,137,407,82.5,252,132,Recyclable
Sprite,136,410,87.5,252,148,Recyclable
Fanta 1.25L,195,455,12.5,212,132,Non-Recyclable
Fanta 1.25L,192,455,12.5,220,132,Non-Recyclable
Fanta 1.25L,193,459,12.5,212,132,Non-Recyclable
Fanta 1.25L,189,457,12.5,212,140,Non-Recyclable
Fanta 1.25L,184,457,12.5,220,140,Non-Recyclable
Fanta 1.25L,189,458,12.5,212,140,Non-Recyclable
Fanta 1.25L,191,458,12.5,220,132,Non-Recyclable
Fanta 1.25L,188,459,12.5,212,140,Non-Recyclable
Fanta 1.25L,193,459,12.5,212,124,Non-Recyclable
Fanta 1.25L,193,459,12.5,212,124,Non-Recyclable
Fanta 1.25L,196,460,12.5,220,140,Non-Recyclable
Fanta 1.25L,191,458,12.5,220,124,Non-Recyclable
Fanta 1.25L,194,458,12.5,212,140,Non-Recyclable
Fanta 1.25L,192,458,12.5,212,124,Non-Recyclable
Fanta 1.25L,191,460,12.5,212,140,Non-Recyclable
Fanta 1.25L,186,460,12.5,220,124,Non-Recyclable
Fanta 1.25L,186,460,12.5,212,124,Non-Recyclable
Fanta 1.25L,185,461,12.5,220,124,Non-Recyclable
Fanta 1.25L,182,456,12.5,220,140,Non-Recyclable
Fanta 1.25L,182,456,12.5,212,124,Non-Recyclable
