Product,Height (mm),Width (mm),H,S,V,Recyclable Flag
500ml Red,200.0,70.0,0.0,90.0,90.0,Recyclable
500ml Green,200.0,70.0,120.0,85.0,80.0,Recyclable
500ml Blue,200.0,70.0,240.0,85.0,85.0,Recyclable
1L Red,260.0,90.0,0.0,90.0,88.0,Non-Recyclable
500ml Orange,200.0,70.0,30.0,90.0,92.0,Non-Recyclable
500ml Red A,199.0,69.0,2.0,88.0,89.0,Recyclable
500ml Red B,201.0,71.0,358.0,91.0,91.0,Recyclable
500ml Green A,200.0,70.0,118.0,84.0,79.0,Recyclable
500ml Green B,202.0,72.0,122.0,86.0,82.0,Recyclable
500ml Blue A,198.0,69.0,238.0,83.0,84.0,Recyclable
500ml Blue B,201.0,70.0,242.0,87.0,86.0,Recyclable
1L Red A,260.0,90.0,1.0,89.0,87.0,Non-Recyclable
1L Red B,262.0,92.0,359.0,92.0,90.0,Non-Recyclable
500ml Orange A,200.0,70.0,28.0,89.0,93.0,Non-Recyclable
500ml Orange B,199.0,69.0,32.0,91.0,91.0,Non-Recyclable
500ml Blue Variant,201.7,69.4,236.5,82.8,83.5,Recyclable
1L Red Variant,261.3,88.3,2.6,86.9,86.1,Non-Recyclable
500ml Blue Variant,202.7,69.7,242.9,84.4,87.0,Recyclable
500ml Green Variant,199.7,69.1,114.6,84.2,78.9,Recyclable
1L Red Variant,263.3,90.2,1.9,87.3,86.0,Non-Recyclable
500ml Red Variant,201.4,69.4,359.1,88.2,89.8,Recyclable
1L Red Variant,258.4,90.5,4.6,93.1,91.1,Non-Recyclable
500ml Red Variant,198.8,69.6,1.8,90.1,89.3,Recyclable
500ml Red Variant,197.2,70.1,357.8,88.0,92.3,Recyclable
1L Red Variant,259.4,91.0,358.4,89.6,86.2,Non-Recyclable
500ml Green Variant,201.0,69.5,118.4,86.7,80.0,Recyclable
500ml Blue Variant,202.2,70.0,237.7,82.6,82.7,Recyclable
500ml Blue Variant,198.1,70.0,241.0,87.1,84.3,Recyclable
500ml Green Variant,199.6,69.7,120.1,85.8,80.4,Recyclable
500ml Orange Variant,200.2,70.5,37.9,91.7,92.1,Non-Recyclable
500ml Blue Variant,199.8,69.9,235.2,81.6,85.0,Recyclable
500ml Blue Variant,199.9,69.4,238.3,84.4,82.0,Recyclable
500ml Blue Variant,198.8,69.4,235.0,85.0,83.3,Recyclable
500ml Blue Variant,198.8,70.9,235.5,83.3,85.4,Recyclable
500ml Red Variant,202.7,69.4,0.1,88.2,89.4,Recyclable
500ml Red Variant,201.2,69.8,0.1,91.5,90.2,Recyclable
500ml Red Variant,198.7,69.8,356.9,90.3,91.8,Recyclable
500ml Green Variant,197.8,70.1,117.8,84.9,81.6,Recyclable
500ml Orange Variant,200.1,70.3,37.0,90.7,91.3,Non-Recyclable
500ml Orange Variant,198.5,71.1,32.2,89.0,92.2,Non-Recyclable
500ml Orange Variant,199.0,70.6,31.2,94.9,88.9,Non-Recyclable
500ml Green Variant,197.5,71.2,122.3,84.8,83.4,Recyclable
500ml Green Variant,201.3,69.3,121.3,86.4,80.0,Recyclable
500ml Green Variant,202.3,70.8,115.8,83.6,81.2,Recyclable
500ml Blue Variant,200.8,70.8,241.3,86.2,88.4,Recyclable
1L Red Variant,259.5,90.2,1.8,89.0,90.2,Non-Recyclable
500ml Green Variant,200.1,70.4,123.6,87.9,84.1,Recyclable
500ml Orange Variant,198.0,71.3,31.1,87.7,89.6,Non-Recyclable
500ml Blue Variant,202.9,68.6,236.3,85.6,89.0,Recyclable
500ml Orange Variant,202.4,70.9,29.6,90.9,93.6,Non-Recyclable
